trackId,eventSeq,ptsMs,durationMs,durationSource,dataBytes
2,1,0,23.219954648526077,demux,371
2,2,23.219954648526077,23.219954648526077,demux,372
2,3,46.439909297052154,23.219954648526077,demux,371
2,4,69.65986394557822,23.219954648526077,demux,372
2,5,92.87981859410431,23.219954648526077,demux,371
2,6,116.09977324263039,23.219954648526077,demux,372
2,7,139.31972789115648,23.219954648526077,demux,371
2,8,162.53968253968256,23.219954648526077,demux,372
2,9,186,23.219954648526077,demux,371
2,10,209.21995464852608,23.219954648526077,demux,372
2,11,232.43990929705217,23.219954648526077,demux,371
2,12,255.65986394557825,23.219954648526077,demux,372
2,13,278.87981859410434,23.219954648526077,demux,371
2,14,302.0997732426304,23.219954648526077,demux,372
2,15,325.3197278911565,23.219954648526077,demux,371
2,16,348.5396825396826,23.219954648526077,demux,372
2,17,372,23.219954648526077,demux,371
2,18,395.2199546485261,23.219954648526077,demux,372
2,19,418.43990929705217,23.219954648526077,demux,371
2,20,441.65986394557825,23.219954648526077,demux,372
2,21,464.87981859410434,23.219954648526077,demux,371
2,22,488.0997732426304,23.219954648526077,demux,372
2,23,511.3197278911565,23.219954648526077,demux,371
2,24,534.5396825396825,23.219954648526077,demux,372
2,25,557,23.219954648526077,demux,503
2,26,580.219954648526,23.219954648526077,demux,514
2,27,603.439909297052,23.219954648526077,demux,476
2,28,626.6598639455781,23.219954648526077,demux,460
2,29,649.8798185941041,23.219954648526077,demux,445
2,30,673.0997732426301,23.219954648526077,demux,426
2,31,696.3197278911562,23.219954648526077,demux,415
2,32,719.5396825396822,23.219954648526077,demux,406
2,33,743,23.219954648526077,demux,402
2,34,766.219954648526,23.219954648526077,demux,394
2,35,789.439909297052,23.219954648526077,demux,396
2,36,812.6598639455781,23.219954648526077,demux,398
2,37,835.8798185941041,23.219954648526077,demux,394
2,38,859.0997732426301,23.219954648526077,demux,384
2,39,882.3197278911562,23.219954648526077,demux,372
2,40,905.5396825396822,23.219954648526077,demux,369
2,41,929,23.219954648526077,demux,378
2,42,952.219954648526,23.219954648526077,demux,378
2,43,975.439909297052,23.219954648526077,demux,374
2,44,998.6598639455781,23.219954648526077,demux,368
2,45,1021.8798185941041,23.219954648526077,demux,378
2,46,1045.0997732426301,23.219954648526077,demux,364
2,47,1068.3197278911562,23.219954648526077,demux,374
2,48,1091.5396825396822,23.219954648526077,demux,361
2,49,1115,23.219954648526077,demux,370
2,50,1138.219954648526,23.219954648526077,demux,351
2,51,1161.439909297052,23.219954648526077,demux,360
2,52,1184.659863945578,23.219954648526077,demux,352
2,53,1207.879818594104,23.219954648526077,demux,362
2,54,1231.0997732426301,23.219954648526077,demux,347
2,55,1254.3197278911562,23.219954648526077,demux,354
2,56,1277.5396825396822,23.219954648526077,demux,347
2,57,1300,23.219954648526077,demux,351
2,58,1323.219954648526,23.219954648526077,demux,349
2,59,1346.439909297052,23.219954648526077,demux,343
2,60,1369.659863945578,23.219954648526077,demux,352
2,61,1392.879818594104,23.219954648526077,demux,336
2,62,1416.0997732426301,23.219954648526077,demux,350
2,63,1439.3197278911562,23.219954648526077,demux,349
2,64,1462.5396825396822,23.219954648526077,demux,345
2,65,1486,23.219954648526077,demux,356
2,66,1509.219954648526,23.219954648526077,demux,348
2,67,1532.439909297052,23.219954648526077,demux,371
2,68,1555.659863945578,23.219954648526077,demux,357
2,69,1578.879818594104,23.219954648526077,demux,356
2,70,1602.0997732426301,23.219954648526077,demux,356
2,71,1625.3197278911562,23.219954648526077,demux,363
2,72,1648.5396825396822,23.219954648526077,demux,376
2,73,1672,23.219954648526077,demux,363
2,74,1695.219954648526,23.219954648526077,demux,374
2,75,1718.439909297052,23.219954648526077,demux,368
2,76,1741.659863945578,23.219954648526077,demux,360
2,77,1764.879818594104,23.219954648526077,demux,367
2,78,1788.0997732426301,23.219954648526077,demux,372
2,79,1811.3197278911562,23.219954648526077,demux,358
2,80,1834.5396825396822,23.219954648526077,demux,362
2,81,1858,23.219954648526077,demux,361
2,82,1881.219954648526,23.219954648526077,demux,363
2,83,1904.439909297052,23.219954648526077,demux,366
2,84,1927.659863945578,23.219954648526077,demux,383
2,85,1950.879818594104,23.219954648526077,demux,374
2,86,1974.0997732426301,23.219954648526077,demux,369
2,87,1997.3197278911562,23.219954648526077,demux,374
2,88,2020,23.219954648526077,demux,369
2,89,2043.219954648526,23.219954648526077,demux,369
2,90,2066.439909297052,23.219954648526077,demux,373
2,91,2089.6598639455783,23.219954648526077,demux,371
2,92,2112.8798185941046,23.219954648526077,demux,364
2,93,2136.099773242631,23.219954648526077,demux,373
2,94,2159.319727891157,23.219954648526077,demux,378
2,95,2182.5396825396833,23.219954648526077,demux,366
2,96,2206,23.219954648526077,demux,375
2,97,2229.2199546485263,23.219954648526077,demux,373
2,98,2252.4399092970525,23.219954648526077,demux,374
2,99,2275.6598639455788,23.219954648526077,demux,370
2,100,2298.879818594105,23.219954648526077,demux,365
2,101,2322.0997732426313,23.219954648526077,demux,374
2,102,2345.3197278911575,23.219954648526077,demux,377
2,103,2368.539682539684,23.219954648526077,demux,373
2,104,2392,23.219954648526077,demux,368
2,105,2415.2199546485263,23.219954648526077,demux,380
2,106,2438.4399092970525,23.219954648526077,demux,378
2,107,2461.6598639455788,23.219954648526077,demux,364
2,108,2484.879818594105,23.219954648526077,demux,385
2,109,2508.0997732426313,23.219954648526077,demux,361
2,110,2531.3197278911575,23.219954648526077,demux,371
2,111,2554.539682539684,23.219954648526077,demux,359
2,112,2577,23.219954648526077,demux,373
2,113,2600.2199546485263,23.219954648526077,demux,367
2,114,2623.4399092970525,23.219954648526077,demux,373
2,115,2646.6598639455788,23.219954648526077,demux,366
2,116,2669.879818594105,23.219954648526077,demux,375
2,117,2693.0997732426313,23.219954648526077,demux,365
2,118,2716.3197278911575,23.219954648526077,demux,384
2,119,2739.539682539684,23.219954648526077,demux,356
2,120,2763,23.219954648526077,demux,373
2,121,2786.2199546485263,23.219954648526077,demux,374
2,122,2809.4399092970525,23.219954648526077,demux,371
2,123,2832.6598639455788,23.219954648526077,demux,367
2,124,2855.879818594105,23.219954648526077,demux,383
2,125,2879.0997732426313,23.219954648526077,demux,371
2,126,2902.3197278911575,23.219954648526077,demux,378
2,127,2925.539682539684,23.219954648526077,demux,378
2,128,2949,23.219954648526077,demux,373
2,129,2972.2199546485263,23.219954648526077,demux,364
2,130,2995.4399092970525,23.219954648526077,demux,375
2,131,3018.6598639455788,23.219954648526077,demux,364
2,132,3041.879818594105,23.219954648526077,demux,374
2,133,3065.0997732426313,23.219954648526077,demux,366
2,134,3088.3197278911575,23.219954648526077,demux,364
2,135,3111.539682539684,23.219954648526077,demux,374
2,136,3135,23.219954648526077,demux,370
2,137,3158.2199546485263,23.219954648526077,demux,364
2,138,3181,23.219954648526077,demux,374
2,139,3204.2199546485263,23.219954648526077,demux,367
2,140,3227.4399092970525,23.219954648526077,demux,356
2,141,3250.6598639455788,23.219954648526077,demux,369
2,142,3273.879818594105,23.219954648526077,demux,366
2,143,3297.0997732426313,23.219954648526077,demux,373
2,144,3320.3197278911575,23.219954648526077,demux,379
2,145,3343.539682539684,23.219954648526077,demux,375
2,146,3367,23.219954648526077,demux,370
2,147,3390.2199546485263,23.219954648526077,demux,373
2,148,3413.4399092970525,23.219954648526077,demux,372
2,149,3436.6598639455788,23.219954648526077,demux,374
2,150,3459.879818594105,23.219954648526077,demux,366
2,151,3483.0997732426313,23.219954648526077,demux,383
2,152,3506.3197278911575,23.219954648526077,demux,370
2,153,3529.539682539684,23.219954648526077,demux,369
2,154,3553,23.219954648526077,demux,369
2,155,3576.2199546485263,23.219954648526077,demux,392
2,156,3599.4399092970525,23.219954648526077,demux,387
2,157,3622.6598639455788,23.219954648526077,demux,371
2,158,3645.879818594105,23.219954648526077,demux,371
2,159,3669.0997732426313,23.219954648526077,demux,366
2,160,3692.3197278911575,23.219954648526077,demux,361
2,161,3715.539682539684,23.219954648526077,demux,365
2,162,3738,23.219954648526077,demux,367
2,163,3761.2199546485263,23.219954648526077,demux,379
2,164,3784.4399092970525,23.219954648526077,demux,380
2,165,3807.6598639455788,23.219954648526077,demux,360
2,166,3830.879818594105,23.219954648526077,demux,371
2,167,3854.0997732426313,23.219954648526077,demux,377
2,168,3877.3197278911575,23.219954648526077,demux,374
2,169,3900.539682539684,23.219954648526077,demux,374
2,170,3924,23.219954648526077,demux,376
2,171,3947.2199546485263,23.219954648526077,demux,385
2,172,3971,23.219954648526077,demux,380
2,173,3994.2199546485263,23.219954648526077,demux,368
