trackId,event,seq,startUs,startSec,ptsMs,durationMs,extra
2,start,,,,,,
2,moof,1,606,0.000606,,,frames=35
2,mdat,1,606,0,,812.6984126984122,479
2,moof,1,1085,0.001085,,,frames=35
2,mdat,1,1085,0,,812.6984126984122,480
2,moof,1,1565,0.001565,,,frames=35
2,mdat,1,1565,0,,812.6984126984122,479
2,moof,1,2044,0.002044,,,frames=35
2,mdat,1,2044,0,,812.6984126984122,480
2,moof,1,2524,0.002524,,,frames=35
2,mdat,1,2524,0,,812.6984126984122,479
2,moof,1,3003,0.003003,,,frames=35
2,mdat,1,3003,0,,812.6984126984122,480
2,moof,1,3483,0.003483,,,frames=35
2,mdat,1,3483,0,,812.6984126984122,479
2,moof,1,3962,0.003962,,,frames=35
2,mdat,1,3962,0,,812.6984126984122,480
2,moof,1,4442,0.004442,,,frames=35
2,mdat,1,4442,0,,812.6984126984122,479
2,moof,1,4921,0.004921,,,frames=35
2,mdat,1,4921,0,,812.6984126984122,480
2,moof,1,5401,0.005401,,,frames=35
2,mdat,1,5401,0,,812.6984126984122,479
2,moof,1,5880,0.00588,,,frames=35
2,mdat,1,5880,0,,812.6984126984122,480
2,moof,1,6360,0.00636,,,frames=35
2,mdat,1,6360,0,,812.6984126984122,479
2,moof,1,6839,0.006839,,,frames=35
2,mdat,1,6839,0,,812.6984126984122,480
2,moof,1,7319,0.007319,,,frames=35
2,mdat,1,7319,0,,812.6984126984122,479
2,moof,1,7798,0.007798,,,frames=35
2,mdat,1,7798,0,,812.6984126984122,480
2,moof,1,8278,0.008278,,,frames=35
2,mdat,1,8278,0,,812.6984126984122,479
2,moof,1,8757,0.008757,,,frames=35
2,mdat,1,8757,0,,812.6984126984122,480
2,moof,1,9237,0.009237,,,frames=35
2,mdat,1,9237,0,,812.6984126984122,479
2,moof,1,9716,0.009716,,,frames=35
2,mdat,1,9716,0,,812.6984126984122,480
2,moof,1,10196,0.010196,,,frames=35
2,mdat,1,10196,0,,812.6984126984122,479
2,moof,1,10675,0.010675,,,frames=35
2,mdat,1,10675,0,,812.6984126984122,480
2,moof,1,11155,0.011155,,,frames=35
2,mdat,1,11155,0,,812.6984126984122,479
2,moof,1,11634,0.011634,,,frames=35
2,mdat,1,11634,0,,812.6984126984122,480
2,moof,1,12114,0.012114,,,frames=35
2,mdat,1,12114,0,,812.6984126984122,611
2,moof,1,12725,0.012725,,,frames=35
2,mdat,1,12725,0,,812.6984126984122,622
2,moof,1,13347,0.013347,,,frames=35
2,mdat,1,13347,0,,812.6984126984122,584
2,moof,1,13931,0.013931,,,frames=35
2,mdat,1,13931,0,,812.6984126984122,568
2,moof,1,14499,0.014499,,,frames=35
2,mdat,1,14499,0,,812.6984126984122,553
2,moof,1,15052,0.015052,,,frames=35
2,mdat,1,15052,0,,812.6984126984122,534
2,moof,1,15586,0.015586,,,frames=35
2,mdat,1,15586,0,,812.6984126984122,523
2,moof,1,16109,0.016109,,,frames=35
2,mdat,1,16109,0,,812.6984126984122,514
2,moof,1,16623,0.016623,,,frames=35
2,mdat,1,16623,0,,812.6984126984122,510
2,moof,1,17133,0.017133,,,frames=35
2,mdat,1,17133,0,,812.6984126984122,502
2,moof,1,17635,0.017635,,,frames=35
2,mdat,1,17635,0,,812.6984126984122,504
2,segment,1,0,,0,812698,504
2,moof,2,606,0.000606,,,frames=971
2,mdat,2,606,0.8126598639455781,,22546.57596371849,506
2,moof,2,1112,0.001112,,,frames=971
2,mdat,2,1112,0.8126598639455781,,22546.57596371849,502
2,moof,2,1614,0.001614,,,frames=971
2,mdat,2,1614,0.8126598639455781,,22546.57596371849,492
2,moof,2,2106,0.002106,,,frames=971
2,mdat,2,2106,0.8126598639455781,,22546.57596371849,480
2,moof,2,2586,0.002586,,,frames=971
2,mdat,2,2586,0.8126598639455781,,22546.57596371849,477
2,moof,2,3063,0.003063,,,frames=971
2,mdat,2,3063,0.8126598639455781,,22546.57596371849,486
2,moof,2,3549,0.003549,,,frames=971
2,mdat,2,3549,0.8126598639455781,,22546.57596371849,486
2,moof,2,4035,0.004035,,,frames=971
2,mdat,2,4035,0.8126598639455781,,22546.57596371849,482
2,moof,2,4517,0.004517,,,frames=971
2,mdat,2,4517,0.8126598639455781,,22546.57596371849,476
2,moof,2,4993,0.004993,,,frames=971
2,mdat,2,4993,0.8126598639455781,,22546.57596371849,486
2,moof,2,5479,0.005479,,,frames=971
2,mdat,2,5479,0.8126598639455781,,22546.57596371849,472
2,moof,2,5951,0.005951,,,frames=971
2,mdat,2,5951,0.8126598639455781,,22546.57596371849,482
2,moof,2,6433,0.006433,,,frames=971
2,mdat,2,6433,0.8126598639455781,,22546.57596371849,469
2,moof,2,6902,0.006902,,,frames=971
2,mdat,2,6902,0.8126598639455781,,22546.57596371849,478
2,moof,2,7380,0.00738,,,frames=971
2,mdat,2,7380,0.8126598639455781,,22546.57596371849,459
2,moof,2,7839,0.007839,,,frames=971
2,mdat,2,7839,0.8126598639455781,,22546.57596371849,468
2,moof,2,8307,0.008307,,,frames=971
2,mdat,2,8307,0.8126598639455781,,22546.57596371849,460
2,moof,2,8767,0.008767,,,frames=971
2,mdat,2,8767,0.8126598639455781,,22546.57596371849,470
2,moof,2,9237,0.009237,,,frames=971
2,mdat,2,9237,0.8126598639455781,,22546.57596371849,455
2,moof,2,9692,0.009692,,,frames=971
2,mdat,2,9692,0.8126598639455781,,22546.57596371849,462
2,moof,2,10154,0.010154,,,frames=971
2,mdat,2,10154,0.8126598639455781,,22546.57596371849,455
2,moof,2,10609,0.010609,,,frames=971
2,mdat,2,10609,0.8126598639455781,,22546.57596371849,459
2,moof,2,11068,0.011068,,,frames=971
2,mdat,2,11068,0.8126598639455781,,22546.57596371849,457
2,moof,2,11525,0.011525,,,frames=971
2,mdat,2,11525,0.8126598639455781,,22546.57596371849,451
2,moof,2,11976,0.011976,,,frames=971
2,mdat,2,11976,0.8126598639455781,,22546.57596371849,460
2,moof,2,12436,0.012436,,,frames=971
2,mdat,2,12436,0.8126598639455781,,22546.57596371849,444
2,moof,2,12880,0.01288,,,frames=971
2,mdat,2,12880,0.8126598639455781,,22546.57596371849,458
2,moof,2,13338,0.013338,,,frames=971
2,mdat,2,13338,0.8126598639455781,,22546.57596371849,457
2,moof,2,13795,0.013795,,,frames=971
2,mdat,2,13795,0.8126598639455781,,22546.57596371849,453
2,moof,2,14248,0.014248,,,frames=971
2,mdat,2,14248,0.8126598639455781,,22546.57596371849,464
2,moof,2,14712,0.014712,,,frames=971
2,mdat,2,14712,0.8126598639455781,,22546.57596371849,456
2,moof,2,15168,0.015168,,,frames=971
2,mdat,2,15168,0.8126598639455781,,22546.57596371849,479
2,moof,2,15647,0.015647,,,frames=971
2,mdat,2,15647,0.8126598639455781,,22546.57596371849,465
2,moof,2,16112,0.016112,,,frames=971
2,mdat,2,16112,0.8126598639455781,,22546.57596371849,464
2,moof,2,16576,0.016576,,,frames=971
2,mdat,2,16576,0.8126598639455781,,22546.57596371849,464
2,moof,2,17040,0.01704,,,frames=971
2,mdat,2,17040,0.8126598639455781,,22546.57596371849,471
2,moof,2,17511,0.017511,,,frames=971
2,mdat,2,17511,0.8126598639455781,,22546.57596371849,484
2,moof,2,17995,0.017995,,,frames=971
2,mdat,2,17995,0.8126598639455781,,22546.57596371849,471
2,moof,2,18466,0.018466,,,frames=971
2,mdat,2,18466,0.8126598639455781,,22546.57596371849,482
2,moof,2,18948,0.018948,,,frames=971
2,mdat,2,18948,0.8126598639455781,,22546.57596371849,476
2,moof,2,19424,0.019424,,,frames=971
2,mdat,2,19424,0.8126598639455781,,22546.57596371849,468
2,moof,2,19892,0.019892,,,frames=971
2,mdat,2,19892,0.8126598639455781,,22546.57596371849,475
2,moof,2,20367,0.020367,,,frames=971
2,mdat,2,20367,0.8126598639455781,,22546.57596371849,480
2,moof,2,20847,0.020847,,,frames=971
2,mdat,2,20847,0.8126598639455781,,22546.57596371849,466
2,moof,2,21313,0.021313,,,frames=971
2,mdat,2,21313,0.8126598639455781,,22546.57596371849,470
2,moof,2,21783,0.021783,,,frames=971
2,mdat,2,21783,0.8126598639455781,,22546.57596371849,469
2,moof,2,22252,0.022252,,,frames=971
2,mdat,2,22252,0.8126598639455781,,22546.57596371849,471
2,moof,2,22723,0.022723,,,frames=971
2,mdat,2,22723,0.8126598639455781,,22546.57596371849,474
2,moof,2,23197,0.023197,,,frames=971
2,mdat,2,23197,0.8126598639455781,,22546.57596371849,491
2,moof,2,23688,0.023688,,,frames=971
2,mdat,2,23688,0.8126598639455781,,22546.57596371849,482
2,moof,2,24170,0.02417,,,frames=971
2,mdat,2,24170,0.8126598639455781,,22546.57596371849,477
2,moof,2,24647,0.024647,,,frames=971
2,mdat,2,24647,0.8126598639455781,,22546.57596371849,482
2,moof,2,25129,0.025129,,,frames=971
2,mdat,2,25129,0.8126598639455781,,22546.57596371849,477
2,moof,2,25606,0.025606,,,frames=971
2,mdat,2,25606,0.8126598639455781,,22546.57596371849,477
2,moof,2,26083,0.026083,,,frames=971
2,mdat,2,26083,0.8126598639455781,,22546.57596371849,481
2,moof,2,26564,0.026564,,,frames=971
2,mdat,2,26564,0.8126598639455781,,22546.57596371849,479
2,moof,2,27043,0.027043,,,frames=971
2,mdat,2,27043,0.8126598639455781,,22546.57596371849,472
2,moof,2,27515,0.027515,,,frames=971
2,mdat,2,27515,0.8126598639455781,,22546.57596371849,481
2,moof,2,27996,0.027996,,,frames=971
2,mdat,2,27996,0.8126598639455781,,22546.57596371849,486
2,moof,2,28482,0.028482,,,frames=971
